vegas_team,espn_team,ncaa_team,silver_team_id,silver_team,benz_team,massey_team,paine_team,kenpom_team,logo_url,espn_logo_url
Utah State Aggies,Utah St.,Utah State,328.0,Utah St.,Utah St.,Utah St,Utah St.,Utah St.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Utah_State_Aggies_logo.svg/317px-Utah_State_Aggies_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/328.png
Florida Atlantic Owls,FAU,FAU,2226.0,Florida Atlantic,Fla. Atlantic,FL Atlantic,,,https://upload.wikimedia.org/wikipedia/en/thumb/4/40/Florida_Atlantic_Owls_logo.svg/320px-Florida_Atlantic_Owls_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2226.png
Colorado Buffaloes,Colorado,Colorado,38.0,Colorado,Colorado,Colorado,,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Colorado_Buffaloes_logo.svg/320px-Colorado_Buffaloes_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/38.png
Texas Longhorns,Texas,Texas,251.0,Texas,Texas,Texas,Texas,Texas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Texas_Longhorns_logo.svg/320px-Texas_Longhorns_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png
New Mexico Lobos,New Mexico,New Mexico,167.0,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/New_Mexico_Lobos_logo.svg/195px-New_Mexico_Lobos_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/167.png
Dayton Flyers,Dayton,Dayton,2168.0,Dayton,Dayton,Dayton,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Dayton_Flyers_logo.svg/320px-Dayton_Flyers_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2168.png
Villanova Wildcats,Villanova,Villanova,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Villanova_Wildcats_logo.svg/269px-Villanova_Wildcats_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/222.png
Oklahoma Sooners,Oklahoma,Oklahoma,,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/186px-Oklahoma_Sooners_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/201.png
Colorado St Rams,Colorado St.,Colorado St.,36.0,Colorado St.,Colorado St.,Colorado St,Colorado St.,Colorado St.,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Colorado_State_Rams_logo.svg/240px-Colorado_State_Rams_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/36.png
Utah Utes,Utah,Utah,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Utah_Utes_logo.svg/263px-Utah_Utes_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/254.png
St. John's Red Storm,St. John's,St. John's,,St. John's,St. John's,St. John's,St. John's,St. John's,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/St._John%27s_Red_Storm_logo.svg/172px-St._John%27s_Red_Storm_logo.svg.png,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png
